title	link	main text	reply text
深夜睡不着，我终于意识到我被职场pua了	https://www.douban.com/group/topic/242770451/	['前提这个公司我从毕业就在这工作，公司最难的时候都在，已经七八年了。今天中午我去问老板我工作上的分配不公，结果他把我说了各种不行，当时一句话都没怼回去，我现在回想起来全是恶心的话，太怂了太包子了。有千万句否定他的话。谈话过程中一句不提我的功劳苦劳，打些为我好的名义一直打击我，说我不自信，搞得我很久都在自我怀疑，而且上升到我的私生活，说我的朋友不好，不给我正面影响，我的朋友们明明很好，难道我朋友天天劝我为你公司服务就是好的了吗？加班熬夜的成了活该。现在看来我真是活该，凭啥为他卖命。天天说自己怎么累，那不应该的吗，大钱不是你挣吗我才挣几千？为什么要操心你的公司。本来就是一份工资，身兼数职。太恶心了。吐了。', '太难过了，我为什么还要想起他们说的恶心话。', '工作不是全部，大不了就没收入几个月为什么就这么舍不得呢？', '看了职场pua的解释，我一条都没落下，现在觉得自己好悲哀。']	['抱抱', '😭😭', '同感', '我也是，离职之后经常为自己的怂懊恼，当时应该怼回去的', '现在经常会被他们的说的话，做的事恶心到，每个平台都骂了他们在一遍', '赶紧走人吧，新公司来了两个月，积极性一点点被磨灭，还产生了严重对自我怀疑，职场pua太可怕了', '打着为你好的名号，实则却是想操控你，干涉你一切的一切……']
每天总结来自主管的pua话术	https://www.douban.com/group/topic/198659078/	['1、你想不想挑战一下你自己？（然后一个复杂又没有意义的事情安排在你身上了）', '2、做别人没做过的才有挑战，做别人已经做过的有什么成长（什么资源，方法都不提供就让你去做，做不好，做的慢就挨批）']	['3. 马路上随便找一个人或者找个intern都能做你的工作', '6. 最近有人向我表达了对你的不满，但是这个是谁我不能说，所以你做的不对', '【你周末有事要请假么？】这是我2020年听过最震撼的话', '5. XX做的都比你强（这个XX专科学历，才来部门之前也不是做这个岗位的）', '是你自己太敏感了，你太情绪化了', '3. 马路上随便找一个人或者找个intern都能做你的工作', '4、还想不想做了，我看你是不是想去干xx岗位了（指在主管看来很\nLow逼的岗位）', '5. XX做的都比你强（这个XX专科学历，才来部门之前也不是做这个岗位的）', '6. 最近有人向我表达了对你的不满，但是这个是谁我不能说，所以你做的不对', '两个月前遇到过这个情况，几乎一字不差……', '【你周末有事要请假么？】这是我2020年听过最震撼的话', '我也是，似曾相识的感觉', '能力太差了，一点价值都没有。给我滚。辞职信交上来呀。你辞职外面也找不到。', '是你自己太敏感了，你太情绪化了', '晋升后你走的话，行业里你名声都要臭', '去年碰到过这种，我们的版本是”team里面其他人都跟我投诉你“', '离了这份工作，你们能保证找到这么好的吗', '你再也不会遇到像我们两个（大经理和小经理）这么好，这么照顾你的人了', '你现在做的都是辅助性的工作，都觉得压力大，那负责板块工作，该怎么办？', '你还需要继续锻炼，抗压能力不行', '你们要没有很好的学历和技能，公司给你锻炼的机会，你们要好好珍惜', '好好干，明年争取给你调薪', '你有没有觉得你很像xxx（以前在我这个岗位被辞退的同事），你自己好好想一下？']
不知道算不算职场PUA，但烦不可耐	https://www.douban.com/group/topic/244735947/	['一、我没有海外留学经历，工作第三年，也没有海外留学想法，领导三番五次给我发海外留学、工作的好处，被我婉拒，还说他已经做好了为下一代牺牲的准备，言下之意，说我父母不够牺牲；', '二、经常发拍照、穿搭，经常发泳装、泳衣照等给我，说要自信穿，上级为男领导；', '三、已知我家庭条件比他好，经常说我们家那片房价竟然那么高了、房价要降了,还问我家庭收入如何，叫我去大城市找工作，我说我要留在家乡陪父母，他就说我已经浪费了两年了，直接否定了我职场这两年的付出。', '不知道这些是不是职场PUA，但真的不堪其扰，如有打扰，请见谅！']	['这个人不要理她，是生活PUA，他羡慕嫉妒你在父母家，所以要你分开']
不知道是不是pua	https://www.douban.com/group/topic/248107834/	['1.题主是今年刚毕业的应届生，入职三个多月，公司分配了一个前辈带我，主要就是跟着他做项目，前辈让我做什么就做什么。\n    2.介绍一下前辈的情况：前辈工作十一年，今年刚跳槽来我就职的这家公司，没有领导头衔，我们部门是分小组制，每个组一个组长是领导，他不是我领导，我们没有上下级关系，他极其喜欢命令我按照他的指令做事。比如周末几点来加班，几点才能去吃完饭。', '', ' \n    3.前辈喜欢骂脏话，“wo cao”“cao”“tamade”“shabi”，曾经对着我做的一个东西说“我cao”“服了”。那会入职不到半个月。', '     今天，加班到凌晨五点，怪我做得慢，对我大喊大叫，我说这样弄出来不对，对我大喊“你按我说的做”，结果做出来还是不对，就亲自上手操作，不成功后骂我“cao”，shabi。', '自己的错误导致今天工时加上，但是在有人的时候说我各种导致今天要加班。\n    4.对我说“什么都不懂”“这不是耽误时间吗”\n      “干什么都不行”\n    5.叫我都是“你过来！”“你来！”从未有称呼\n    6.让我不懂就问，不要不懂装懂，然后每次我反问，就翻白眼或者转脸到一边喷气，撇嘴不耐烦，“你怎么就听不明白呢”\n    7.每天早上上班都命令式且带着不耐烦给我布置任务，如果没听明白问问题，或者复述一遍想要确认，就会有一次被喷气撇嘴翻白眼。，\n    8.对其他同事都很客气，对我就是颐指气使，经常让我早上班说可以多干点\n    9.有的时候我按照他的要求做，甲方指出就又说我怎么不按要求改。\n    10.晚上加班，我出去吃饭也被催', '    11.有一次我数据线掉了，他捡起来说“这数据线真丑”，但我的就是普通白色type—c数据线而已。', '\n']	['快找下家，离这种人远一点', '哇 这种人就是傻逼']
实习被职场pua经历	https://www.douban.com/group/topic/229555568/	"['某互联网中厂品牌策划刚入职一个星期，leader每天都对我进行pua，还经常说什么对我期望特别高所以要求严格严师出高徒的屁话', '""主要 我不是老师\n你不能一直想着 我来去监督或者解决你有啥问题\n我给了你那么多 之前的方案参考\n咱俩是不是0默契\n就是我说一句话 感觉 都要解释半天你才懂...\n有个弟弟昨晚加班到10点 今天也10点前到了 以后注意""', '我算是比较自觉也热爱工作的人，完全没有摸鱼划水，之前每次实习都没遇过这种处处挑刺愿意输出负能量的上司，比我大不了几岁，一边说不把我当实习生和她打配合，一边又把我当纯工具人压榨。', '最可怕的是不知道怎么回怼，甚至有时候怀疑自己真的能力有问题。']"	['我感觉咱俩的情况好像啊，那个带我的人也是这么说的，人家就是个实习生就当正式员工干，完不成就要加班，大家都这样……这几天整的我好压抑啊', '你能力上来了她才能更好的使唤你啊！别什么都顺着别人来', '我感觉咱俩的情况好像啊，那个带我的人也是这么说的，人家就是个实习生就当正式员工干，完不成就要加班，大家都这样……这几天整的我好压抑啊', '你能力上来了她才能更好的使唤你啊！别什么都顺着别人来', 'woc，带我的人也是这么和我说的', '是的！一摸一样的话！就是这样子的的！抱头痛哭.jpg', '一模一样！！！', '和我情况有点像，现在因为太难过了正在办公室哭，我好菜😅', '之所以被pua是因为太过于重视某位领导的说法，调整自己的心态，有错就改没错就要当场提出质疑。领导也是看人下菜挑软柿子捏']
今天被无端指控做事不负责，无头无尾	https://www.douban.com/group/topic/248071589/	['事情是这样子，9月初总部会计离职，要我接手她手上2家公司，当时我正当月初出财报时间相当紧迫。原先的工作5家子公司已经让我每天很饱和的工作状态。', '心里头自然是不太愿意，但是没办法，秉着顾全大局的想法，经理分配下来就先接着后期又问题再进行讨论。', '交接之后我看了一遍工作内容和交接资料，确认无误。', '由于原来就负责了5家，再加2家确实是搞不过来，我和主管说了每月开发票这块能不能再找人交接，没有得到回复。', '这期间经理要核对欠费情况表也是第一时间核对后发给她（哪怕自己没有权限也借用别人账号）', '本月20号后公司架构调整，所有工作重新分配，开票的事情已经有别人接手。', '今天就因为我不愿意开发票的事情被经理约话，说我的不足有三点', '1，做事没头没尾，当时既然交接，现在搞不半就不干了', '2，当时交接不够主动', '3，责任心不强', '', '终结就是你不接手就是不够积极上进，看重你缺这样子辜负领导的信任。交接适应期要求做得非常完美，速度要快，要什么要立马给数据。现在不愿意弄就是你的问题，责任心不强不够团结，只想着自己的事儿。']	[]
什么时候你突然意识到对面人在pua你	https://www.douban.com/group/topic/245911095/	['工作中，你在哪个瞬间发现这人在pua你或者白嫖', '留言，给所有职场小白提醒', '', '我先说我的，现公司合伙人新投资了一个实体店，让我前期帮帮忙，可以我去了，然后我觉得尼玛真是免费劳动力，然后我不爽，他又跟我说你别认为自己是来帮忙的你就要觉得自己是店长该如何做', '我！？？至此这人整体形象分数大下滑，最近我准备跟他分家，创业2年的伙伴']	['最典型的就像楼主说的那种，让你做事却不给你应得的报酬还说这是给你机会锻炼']
不知道算不算pua但发泄出来或许会好点吧	https://www.douban.com/group/topic/236390169/	['我是个自尊心蛮强的人，但同时脸皮又很厚，所以被领导批评倒不是会觉得话太重伤到我，而是我竟然每次都能在她的冷言冷语中找到那么几丝我确实可以改正或改善的地方，然后搞得自己心里很难受，觉得自己没做好，进而思考自己为什么做不好呢，我怎么会混成这样。虽然如果经过这种反思找到问题后能落实到行动中，无疑是可以让自己进步变得更优秀，但是我暂时没有特别好的心态能把这些压力化为动力，所以最近时常深陷在这种痛苦中，一天只要醒着，脑子里都是循环播放领导今天批评了啥，以及猜测明天又会以什么理由被批评，我感觉快自闭了。', '领导风格大概是，比如昨天是周末，大早上我出门去医院检查身体，突然接到领导电话说要我弄个东西，我跟她说明了情况，说在医院可能得晚点，她回说算了她先看看吧，而后半小时左右发信息跟我说不用了，我也回了好的并对自己无法及时处理这个临时工作表示抱歉。讲真，如果我是在家，就算是大周末我肯定也爬起来给她弄了，但是人在医院怎么可能有办法去处理啊。然后，今天，又因为别的事情对我劈头盖脸一顿骂，说我包括昨天这件事也是我工作主动性不够。我。。。', '其他的事情已经不想回想了，就整个很致郁。以前的领导也讨厌但还是比较讲武德，背后吐槽的时候大家也是能够吐得一顿骂娘畅快，现在这个不行不行，想到她就感觉毁一天。', '入职一个月才，已经很影响心情和生活了，做什么事都没兴趣而且六神无主。。。', '该怎么办啊救命！！！']	['说个搞笑的，今天跟同事一起吐槽说太难了，不懂哪天才不会挨骂，同事说：她（领导）不在的那天。。。\n（我很好我没有哭我在笑）', '😭我的天，简直一模一样', '一模一样😭', '我也天天天天被骂', '摸头', '坚强不哭', '休息的时候就是休息，领导信息不要秒回，就算看到，也要过1个小时，简单回复……\n职场8年，能很清楚哪些领导是PUA', 'CS很多企业……领导都是这样，欺软怕硬！', '一次下班准点走（日常赶班车，理由也正当），她有事叫我发现人没在，遂打电话跟我说的，开头就是很不爽的“你们怎么跑那么快，我出来一看人都没有了”，这就算了，之后这个事就被她记上了隔三差五拿出来说。。。', '所以我领导这样是妥妥pua了吗']
被领导pua失眠到现在	https://www.douban.com/group/topic/231012978/	['我现在在一家商场里的市场营销部工作,主要负责的工作内容是平面设计，由于我学历不是很高，然后应届毕业出来，所以很多事情对我来说就是新的开始。', '平时有在接平面相关的私活，比如主画面的设计，logo设计，包装设计等。前两天被领导约谈了, 他话里话外又是嫌弃我学历低（专科设计专业毕业）又是嫌弃我能力不够。', '我自认为能力是相较于老同事差了一点，但是这份工作出去大部分时间的繁琐跑量的美工类工作，我的岗位还要负责小红书的运营，甚至在仓库人手不够时还要去搬运东西，工作室十四五个小时是常有的事。', '领导告诉我，我表面工夫做的不够足，哪怕是装也要装出来、因为是在职场，但我只想安静的做设计，我的同事很喜欢用素材网站上的东西拼接在一起，我现在非但没有学到东西，还因为工作量大所以很少有原创内容的输出。（同事都是美院毕业，但公司的原创手绘工作是我在负责、ip形象也是我全揽）', '（我现在真的很困也很痛苦，之前是有抑郁史的）文字都是用语音转化的，可能比较罗嗦但就是这种工作，我的月薪3000块钱都不到，我的领导在我来这边工作两个半月内已经无数次地讲过我的能力不行。经常长篇大论的发语音或者约谈我。', '但是私活我目前很不稳定，一个月最多赚到一千左右，我现在一个人住在外面，房租1300。', '再过六个小时又要上班了，不出意外这个月月底就会辞职了，辞职之后想在小红书或者开公众号画一下我在公司的痛苦职场小故事，真的快逃，不要在小城市的商场工作。']	['我也是一毕业去了一家小公司被pua，现在准备备考硕士，不出意外想一直读到博士，想留在校园当老师，不想出来面对一些小公司的奇葩了，出来一年，三观已经破碎了', '本职工作没做好，就去接私活，你的精力有这么多吗？\n然后同事拼接你也得学拼接，因为拼接效率更高。\n\n我没有PUA你，只是就事论事。', '确实，我已经离职了，考驾照中，心态好了很多', '呃 我也就事论事，怎么就是我本职工作没做好呢，所有档期前的平面工作我都做的很到位而且是全部原创，每次都一稿过了。我只是很讨厌去搬货去地推，做本不应该我做的工作。我99年的现在刚毕业就搬出来住了，自己负担自己所有开销，这点工资不接私活一点钱都存不下来，同事拼接所以他美院毕业出来在这家公司四年了还是3000多一个月，觉得很安稳，反正我已经离职啦，我还是坚持做设计要原创为主，既然想走设计师这条路就不要给自己安排美工的工作内容了。', '你的原文是：\n我的领导在我来这边工作两个半月内已经无数次地讲过我的能力不行。\n我自认为能力是相较于老同事差了一点。', '所以说是被pua了，我的东西都是一稿过但我领导还是觉得我能力不行，我也自己这样觉得了。\n当时我是半夜发文的，这段时间发生了好多事情，我的领导被搞下来了，他离开公司第一件事就是告诉我我的能力其实没有不行，只是怕我太骄傲什么的，没有说清楚抱歉，两个月前发的文后续我也没有来补发内容了。', '博士内卷也严重，家里不差钱可以留校']
救命！领导突然找我谈话让我换岗！有没有家人可以帮忙解读下啥意思？	https://www.douban.com/group/topic/243855949/	['事情是这样，新项目负责人来了项目组，第一天给每个人都单独聊了工作量的问题，第二天开了会议，又单独谈话明确工作量（加工作量），除了我。后来我第三天去主动找项目负责人沟通我的工作，但是他说要和我的直接领导一起谈。就是今天，他们说要找我谈，问我想做什么，（之前和另一个部门的同事因工作问题有一些冲突，但后来主动解决了），直接领导提这个事情把我说的一无是处。最后问我要不要转岗，我表明还是做现在工作，他说不合适，让我自己去问问其他项目缺不缺人，可以的话调过去。', '想问下我应该怎么解决这个问题呢？刚转正一个月。']	[]
